claim_id,policy_id,claimant_id,vehicle_id,claim_amount,vehicle_value,claim_to_vehicle_ratio,claim_type,claim_date,accident_city,province,vehicle_make,vehicle_year,police_report,witness_present,injury_reported,fraud_label,fraud_ring_id
CLM_000001,POL_356787,CLA_000001,VEH_000002,5485.41,9639,0.57,Injury,2026-02-03,Mississauga,ON,Hyundai,2012,0,1,0,0,
CLM_000002,POL_329258,CLA_000009,VEH_000010,714.39,10082,0.07,Injury,2025-01-24,Toronto,ON,Tesla,2016,1,0,0,0,
CLM_000003,POL_331148,CLA_000016,VEH_000017,6259.08,53962,0.12,Comprehensive,2024-10-30,Kitchener,ON,Mazda,2010,0,1,0,0,
CLM_000004,POL_456778,CLA_000024,VEH_000025,9945.97,18463,0.54,Theft,2026-01-17,Hamilton,ON,Mazda,2020,1,0,0,0,
CLM_000005,POL_988662,CLA_000031,VEH_000032,3872.14,32898,0.12,Theft,2024-10-15,Kitchener,ON,Mazda,2011,0,0,0,0,
CLM_000006,POL_496922,CLA_000039,VEH_000040,5926.78,43142,0.14,Collision,2024-12-07,Kitchener,ON,Mazda,2021,1,0,0,0,
CLM_000007,POL_793384,CLA_000046,VEH_000047,5346.36,54174,0.1,Injury,2025-09-02,Mississauga,ON,Mazda,2017,1,0,0,0,
CLM_000008,POL_766563,CLA_000053,VEH_000054,8049.42,32911,0.24,Theft,2026-01-10,Waterloo,ON,Ford,2016,1,0,0,0,
CLM_000009,POL_738720,CLA_000060,VEH_000061,5823.45,52796,0.11,Injury,2024-12-26,Hamilton,ON,Honda,2024,1,1,1,0,
CLM_000010,POL_330283,CLA_000069,VEH_000070,6902.01,49943,0.14,Theft,2026-04-29,Hamilton,ON,Mazda,2011,1,0,0,0,
CLM_000011,POL_321231,CLA_000076,VEH_000077,8141.08,34290,0.24,Glass,2025-08-07,Hamilton,ON,Hyundai,2025,0,1,0,0,
CLM_000012,POL_377746,CLA_000084,VEH_000085,4140.35,50129,0.08,Injury,2025-10-16,Kitchener,ON,Hyundai,2023,0,0,0,0,
CLM_000013,POL_245051,CLA_000091,VEH_000092,12163.03,22373,0.54,Glass,2025-02-05,Mississauga,ON,Mazda,2011,0,1,1,0,
CLM_000014,POL_930555,CLA_000100,VEH_000101,8813.65,18016,0.49,Comprehensive,2024-10-23,Mississauga,ON,BMW,2022,0,0,0,0,
CLM_000015,POL_680099,CLA_000107,VEH_000108,6289.57,38674,0.16,Collision,2024-07-29,Mississauga,ON,Hyundai,2018,0,0,0,0,
CLM_000016,POL_555884,CLA_000114,VEH_000115,3880.12,30293,0.13,Injury,2025-03-18,Toronto,ON,Hyundai,2018,1,0,0,0,
CLM_000017,POL_211579,CLA_000121,VEH_000122,5584.18,57935,0.1,Theft,2024-09-09,Hamilton,ON,Honda,2021,0,1,0,0,
CLM_000018,POL_100599,CLA_000129,VEH_000130,11343.75,59028,0.19,Glass,2025-07-29,London,ON,Toyota,2013,1,1,1,0,
CLM_000019,POL_352572,CLA_000138,VEH_000139,5107.32,28153,0.18,Glass,2026-04-06,Mississauga,ON,Hyundai,2025,1,0,1,0,
CLM_000020,POL_231869,CLA_000146,VEH_000147,6835.83,57846,0.12,Injury,2024-08-19,London,ON,Tesla,2015,0,0,0,0,
CLM_000021,POL_322086,CLA_000153,VEH_000154,12668.69,47753,0.27,Glass,2024-07-19,Hamilton,ON,Hyundai,2019,1,0,0,0,
CLM_000022,POL_559381,CLA_000161,VEH_000162,17084.59,52019,0.33,Glass,2025-03-20,Mississauga,ON,Honda,2017,1,0,0,0,
CLM_000023,POL_330914,CLA_000168,VEH_000169,7944.98,44301,0.18,Collision,2026-04-14,Toronto,ON,Honda,2012,1,0,1,0,
CLM_000024,POL_349565,CLA_000178,VEH_000179,2953.54,29654,0.1,Theft,2024-08-09,London,ON,Honda,2014,0,0,0,0,
CLM_000025,POL_354801,CLA_000185,VEH_000186,8522.53,45423,0.19,Comprehensive,2025-05-05,Hamilton,ON,Toyota,2013,1,0,0,0,
CLM_000026,POL_589710,CLA_000192,VEH_000193,2715.79,31219,0.09,Collision,2024-08-05,Mississauga,ON,Toyota,2022,1,0,0,0,
CLM_000027,POL_299448,CLA_000199,VEH_000200,3396.97,15161,0.22,Glass,2025-03-23,Brampton,ON,BMW,2015,1,0,0,0,
CLM_000028,POL_997546,CLA_000206,VEH_000207,4660.88,12940,0.36,Glass,2026-03-17,Toronto,ON,Hyundai,2010,1,0,1,0,
CLM_000029,POL_609231,CLA_000215,VEH_000216,3909.32,23491,0.17,Comprehensive,2025-11-19,Cambridge,ON,Toyota,2015,1,0,1,0,
CLM_000030,POL_923267,CLA_000223,VEH_000224,13804.57,25380,0.54,Comprehensive,2025-09-06,Cambridge,ON,Hyundai,2025,0,0,1,0,
CLM_000031,POL_161324,CLA_000231,VEH_000232,5554.61,27445,0.2,Glass,2024-12-17,Toronto,ON,Hyundai,2020,0,0,0,0,
CLM_000032,POL_994141,CLA_000239,VEH_000240,9354.2,46284,0.2,Glass,2026-01-15,Toronto,ON,Tesla,2012,0,0,0,0,
CLM_000033,POL_808011,CLA_000247,VEH_000248,5826.89,12490,0.47,Injury,2025-05-08,Mississauga,ON,Tesla,2017,1,0,0,0,
CLM_000034,POL_539589,CLA_000254,VEH_000255,5127.75,10604,0.48,Glass,2024-11-24,Waterloo,ON,Ford,2016,1,0,0,0,
CLM_000035,POL_804318,CLA_000261,VEH_000262,2820.52,25407,0.11,Theft,2025-03-14,Waterloo,ON,Mazda,2012,0,0,1,0,
CLM_000036,POL_204837,CLA_000269,VEH_000270,7985.78,48708,0.16,Collision,2024-12-22,Hamilton,ON,Tesla,2018,1,0,0,0,
