entity_id,entity_type,entity_name,risk_role
CLA_000001,Claimant,Claimant_1,Claimant
VEH_000002,Vehicle,Vehicle_2,Vehicle
ADD_000003,Address,Address_3,Address
PHO_000004,Phone,Phone_4,Phone
REP_000005,RepairShop,RepairShop_5,RepairShop
BRO_000006,Broker,Broker_6,Broker
ADJ_000007,Adjuster,Adjuster_7,Adjuster
WIT_000008,Witness,Witness_8,Witness
CLA_000009,Claimant,Claimant_9,Claimant
VEH_000010,Vehicle,Vehicle_10,Vehicle
ADD_000011,Address,Address_11,Address
PHO_000012,Phone,Phone_12,Phone
REP_000013,RepairShop,RepairShop_13,RepairShop
BRO_000014,Broker,Broker_14,Broker
ADJ_000015,Adjuster,Adjuster_15,Adjuster
CLA_000016,Claimant,Claimant_16,Claimant
VEH_000017,Vehicle,Vehicle_17,Vehicle
ADD_000018,Address,Address_18,Address
PHO_000019,Phone,Phone_19,Phone
REP_000020,RepairShop,RepairShop_20,RepairShop
BRO_000021,Broker,Broker_21,Broker
ADJ_000022,Adjuster,Adjuster_22,Adjuster
WIT_000023,Witness,Witness_23,Witness
CLA_000024,Claimant,Claimant_24,Claimant
VEH_000025,Vehicle,Vehicle_25,Vehicle
ADD_000026,Address,Address_26,Address
PHO_000027,Phone,Phone_27,Phone
REP_000028,RepairShop,RepairShop_28,RepairShop
BRO_000029,Broker,Broker_29,Broker
ADJ_000030,Adjuster,Adjuster_30,Adjuster
CLA_000031,Claimant,Claimant_31,Claimant
VEH_000032,Vehicle,Vehicle_32,Vehicle
ADD_000033,Address,Address_33,Address
PHO_000034,Phone,Phone_34,Phone
REP_000035,RepairShop,RepairShop_35,RepairShop
BRO_000036,Broker,Broker_36,Broker
ADJ_000037,Adjuster,Adjuster_37,Adjuster
TOW_000038,TowTruckCompany,TowTruckCompany_38,TowTruckCompany
CLA_000039,Claimant,Claimant_39,Claimant
VEH_000040,Vehicle,Vehicle_40,Vehicle
ADD_000041,Address,Address_41,Address
PHO_000042,Phone,Phone_42,Phone
REP_000043,RepairShop,RepairShop_43,RepairShop
BRO_000044,Broker,Broker_44,Broker
ADJ_000045,Adjuster,Adjuster_45,Adjuster
CLA_000046,Claimant,Claimant_46,Claimant
VEH_000047,Vehicle,Vehicle_47,Vehicle
ADD_000048,Address,Address_48,Address
PHO_000049,Phone,Phone_49,Phone
REP_000050,RepairShop,RepairShop_50,RepairShop
BRO_000051,Broker,Broker_51,Broker
ADJ_000052,Adjuster,Adjuster_52,Adjuster
CLA_000053,Claimant,Claimant_53,Claimant
VEH_000054,Vehicle,Vehicle_54,Vehicle
ADD_000055,Address,Address_55,Address
PHO_000056,Phone,Phone_56,Phone
REP_000057,RepairShop,RepairShop_57,RepairShop
BRO_000058,Broker,Broker_58,Broker
ADJ_000059,Adjuster,Adjuster_59,Adjuster
CLA_000060,Claimant,Claimant_60,Claimant
VEH_000061,Vehicle,Vehicle_61,Vehicle
ADD_000062,Address,Address_62,Address
PHO_000063,Phone,Phone_63,Phone
REP_000064,RepairShop,RepairShop_64,RepairShop
BRO_000065,Broker,Broker_65,Broker
ADJ_000066,Adjuster,Adjuster_66,Adjuster
MED_000067,MedicalClinic,MedicalClinic_67,MedicalClinic
WIT_000068,Witness,Witness_68,Witness
CLA_000069,Claimant,Claimant_69,Claimant
VEH_000070,Vehicle,Vehicle_70,Vehicle
ADD_000071,Address,Address_71,Address
PHO_000072,Phone,Phone_72,Phone
REP_000073,RepairShop,RepairShop_73,RepairShop
BRO_000074,Broker,Broker_74,Broker
ADJ_000075,Adjuster,Adjuster_75,Adjuster
CLA_000076,Claimant,Claimant_76,Claimant
VEH_000077,Vehicle,Vehicle_77,Vehicle
