source_id,target_id,relationship_type,claim_id
CLA_000001,CLM_000001,filed_claim,CLM_000001
CLA_000001,ADD_000003,lives_at,CLM_000001
CLA_000001,PHO_000004,uses_phone,CLM_000001
CLM_000001,VEH_000002,involves_vehicle,CLM_000001
CLM_000001,REP_000005,used_repair_shop,CLM_000001
CLM_000001,BRO_000006,policy_sold_by,CLM_000001
CLM_000001,ADJ_000007,handled_by,CLM_000001
CLM_000001,WIT_000008,witnessed_by,CLM_000001
CLA_000009,CLM_000002,filed_claim,CLM_000002
CLA_000009,ADD_000011,lives_at,CLM_000002
CLA_000009,PHO_000012,uses_phone,CLM_000002
CLM_000002,VEH_000010,involves_vehicle,CLM_000002
CLM_000002,REP_000013,used_repair_shop,CLM_000002
CLM_000002,BRO_000014,policy_sold_by,CLM_000002
CLM_000002,ADJ_000015,handled_by,CLM_000002
CLA_000016,CLM_000003,filed_claim,CLM_000003
CLA_000016,ADD_000018,lives_at,CLM_000003
CLA_000016,PHO_000019,uses_phone,CLM_000003
CLM_000003,VEH_000017,involves_vehicle,CLM_000003
CLM_000003,REP_000020,used_repair_shop,CLM_000003
CLM_000003,BRO_000021,policy_sold_by,CLM_000003
CLM_000003,ADJ_000022,handled_by,CLM_000003
CLM_000003,WIT_000023,witnessed_by,CLM_000003
CLA_000024,CLM_000004,filed_claim,CLM_000004
CLA_000024,ADD_000026,lives_at,CLM_000004
CLA_000024,PHO_000027,uses_phone,CLM_000004
CLM_000004,VEH_000025,involves_vehicle,CLM_000004
CLM_000004,REP_000028,used_repair_shop,CLM_000004
CLM_000004,BRO_000029,policy_sold_by,CLM_000004
CLM_000004,ADJ_000030,handled_by,CLM_000004
CLA_000031,CLM_000005,filed_claim,CLM_000005
CLA_000031,ADD_000033,lives_at,CLM_000005
CLA_000031,PHO_000034,uses_phone,CLM_000005
CLM_000005,VEH_000032,involves_vehicle,CLM_000005
CLM_000005,REP_000035,used_repair_shop,CLM_000005
CLM_000005,BRO_000036,policy_sold_by,CLM_000005
CLM_000005,ADJ_000037,handled_by,CLM_000005
CLM_000005,TOW_000038,used_tow_company,CLM_000005
CLA_000039,CLM_000006,filed_claim,CLM_000006
CLA_000039,ADD_000041,lives_at,CLM_000006
CLA_000039,PHO_000042,uses_phone,CLM_000006
CLM_000006,VEH_000040,involves_vehicle,CLM_000006
CLM_000006,REP_000043,used_repair_shop,CLM_000006
CLM_000006,BRO_000044,policy_sold_by,CLM_000006
CLM_000006,ADJ_000045,handled_by,CLM_000006
CLA_000046,CLM_000007,filed_claim,CLM_000007
CLA_000046,ADD_000048,lives_at,CLM_000007
CLA_000046,PHO_000049,uses_phone,CLM_000007
CLM_000007,VEH_000047,involves_vehicle,CLM_000007
CLM_000007,REP_000050,used_repair_shop,CLM_000007
CLM_000007,BRO_000051,policy_sold_by,CLM_000007
CLM_000007,ADJ_000052,handled_by,CLM_000007
CLA_000053,CLM_000008,filed_claim,CLM_000008
CLA_000053,ADD_000055,lives_at,CLM_000008
CLA_000053,PHO_000056,uses_phone,CLM_000008
CLM_000008,VEH_000054,involves_vehicle,CLM_000008
CLM_000008,REP_000057,used_repair_shop,CLM_000008
CLM_000008,BRO_000058,policy_sold_by,CLM_000008
CLM_000008,ADJ_000059,handled_by,CLM_000008
CLA_000060,CLM_000009,filed_claim,CLM_000009
CLA_000060,ADD_000062,lives_at,CLM_000009
CLA_000060,PHO_000063,uses_phone,CLM_000009
CLM_000009,VEH_000061,involves_vehicle,CLM_000009
CLM_000009,REP_000064,used_repair_shop,CLM_000009
